Date,Close,is_TP,signal
2020-11-24,9.744000434875488,1,SELL
2020-11-25,9.744000434875488,0,
2020-11-27,9.81999969482422,0,
2020-11-30,9.949999809265137,0,
2020-12-01,9.970000267028809,0,
2020-12-02,10.050000190734863,0,
2020-12-03,10.050000190734863,0,
2020-12-04,10.0600004196167,0,
2020-12-07,10.199999809265137,0,
2020-12-08,10.1899995803833,0,
2020-12-09,10.300000190734863,0,
2020-12-10,10.25,0,
2020-12-11,10.350000381469728,0,
2020-12-14,10.300000190734863,0,
2020-12-15,10.340999603271484,1,
2020-12-16,10.4399995803833,1,SELL
2020-12-17,10.300000190734863,0,
2020-12-18,10.34000015258789,0,
2020-12-21,10.229999542236328,0,
2020-12-22,10.239999771118164,0,
2020-12-23,10.25,0,
2020-12-24,10.300000190734863,0,
2020-12-28,10.31999969482422,0,
2020-12-29,10.289999961853027,0,
2020-12-30,10.420000076293944,0,
2020-12-31,10.109999656677246,0,
2021-01-04,10.300000190734863,0,
2021-01-05,10.352999687194824,0,
2021-01-06,10.380000114440918,0,
2021-01-07,10.40999984741211,0,
2021-01-08,10.420000076293944,0,
2021-01-11,10.399999618530272,0,
2021-01-12,10.3100004196167,0,
2021-01-13,10.520000457763672,0,
2021-01-14,10.5,0,
2021-01-15,10.350000381469728,0,
2021-01-19,10.399999618530272,0,
2021-01-20,10.425000190734863,0,
2021-01-21,10.420000076293944,0,
2021-01-22,10.5,0,
2021-01-25,10.460000038146973,0,
2021-01-26,10.449999809265137,0,
2021-01-27,10.300000190734863,0,
2021-01-28,10.390000343322754,0,
2021-01-29,10.380000114440918,0,
2021-02-01,10.350000381469728,0,
2021-02-02,10.5,0,
2021-02-03,10.619999885559082,0,
2021-02-04,10.510000228881836,0,
2021-02-05,10.520000457763672,0,
2021-02-08,10.449999809265137,0,
2021-02-09,10.390000343322754,0,
2021-02-10,10.43000030517578,0,
2021-02-11,10.520000457763672,0,
2021-02-12,10.460000038146973,1,
2021-02-16,10.479999542236328,1,
2021-02-17,10.760000228881836,1,
2021-02-18,10.979999542236328,1,SELL
2021-02-19,10.800000190734863,0,
2021-02-22,10.699999809265137,0,
2021-02-23,10.449999809265137,0,
2021-02-24,10.4399995803833,0,
2021-02-25,10.31999969482422,1,
2021-02-26,10.25,1,BUY
2021-03-01,13.949999809265137,1,SELL
2021-03-02,13.140000343322754,0,
2021-03-03,12.59000015258789,1,
2021-03-04,11.329999923706056,1,BUY
2021-03-05,12.5,0,
2021-03-08,12.0,0,
2021-03-09,12.289999961853027,0,
2021-03-10,12.40999984741211,0,
2021-03-11,12.40999984741211,0,
2021-03-12,12.220000267028809,0,
